transaction_id,property_id,transaction_date,transaction_price,price_per_sqft,buyer_type,transaction_type,transaction_price_is_outlier
1,7271,2026-08-09,6006000.0,4996.7,End User,Primary Sale,False
2,7604,2023-07-04,35309000.0,30864.5,Investor,Primary Sale,False
3,861,2021-10-09,16013000.0,15965.1,End User,Resale,False
4,5391,2026-04-15,5255000.0,4650.4,Investor,Resale,False
5,5227,2025-10-30,13514000.0,9564.0,End User,Resale,False
6,5192,2024-11-18,23664000.0,18009.1,End User,Resale,False
7,3773,2025-08-03,8957000.0,8538.6,End User,Resale,False
8,3093,2022-04-27,23199000.0,15517.7,End User,Resale,False
9,5735,2023-01-25,41220000.0,25892.0,End User,Resale,False
10,6266,2025-10-12,83181000.0,62261.2,End User,Resale,True
11,467,2025-02-10,12710000.0,14361.6,End User,Resale,False
12,5335,2022-04-29,14177000.0,12534.9,End User,Resale,False
13,4427,2025-02-28,89607000.0,58874.5,Investor,Primary Sale,True
14,5579,2023-11-16,16827000.0,10976.5,End User,Resale,False
15,6232,2021-08-28,17738000.0,14659.5,End User,Resale,False
16,3445,2022-01-10,9827000.0,9946.4,End User,Resale,False
17,3172,2022-11-29,20106000.0,12112.0,End User,Resale,False
18,2920,2025-10-22,3559000.0,8787.7,End User,Primary Sale,False
19,7832,2024-05-17,13505000.0,10752.4,End User,Resale,False
20,131,2025-04-08,18513000.0,17835.3,Investor,Primary Sale,False
21,1686,2024-04-09,27816000.0,19183.4,End User,Resale,False
22,7477,2022-03-10,19213000.0,12903.3,End User,Primary Sale,False
23,770,2023-01-27,4401000.0,9324.2,End User,Resale,False
24,2392,2023-02-20,13952000.0,20046.0,NRI,Resale,False
25,5612,2021-11-14,12661000.0,9063.0,End User,Resale,False
26,7582,2023-09-25,10337000.0,9012.2,Investor,Resale,False
27,6950,2025-08-08,27064000.0,12936.9,End User,Primary Sale,False
28,2434,2023-12-02,14582000.0,11619.1,End User,Primary Sale,False
29,5312,2022-03-09,11467000.0,7870.3,End User,Primary Sale,False
30,5052,2026-02-27,5478000.0,4780.1,Investor,Resale,False
31,6421,2024-08-13,90141000.0,74867.9,End User,Resale,True
32,1185,2021-09-18,9349000.0,11223.3,Investor,Resale,False
33,4556,2024-03-17,254371000.0,319963.5,End User,Resale,True
34,3386,2022-11-04,18230000.0,15594.5,End User,Resale,False
35,4118,2022-05-08,17289000.0,10433.9,NRI,Primary Sale,False
36,6397,2023-10-12,11626000.0,11431.7,End User,Primary Sale,False
37,4844,2024-09-15,58637000.0,50592.8,NRI,Resale,True
38,2905,2022-11-01,20813000.0,12690.9,End User,Resale,False
39,7729,2023-09-19,18357000.0,23933.5,End User,Primary Sale,False
40,475,2024-12-14,32406000.0,33651.1,End User,Resale,False
41,1083,2022-01-22,22343000.0,20020.6,End User,Resale,False
42,2559,2026-07-04,6250000.0,4667.7,Investor,Resale,False
43,7850,2021-12-20,17066000.0,13762.9,NRI,Resale,False
44,2048,2024-04-06,13567000.0,8943.3,End User,Resale,False
45,7644,2024-03-02,394015000.0,326712.3,End User,Resale,True
46,2748,2026-07-29,4303000.0,4851.2,Investor,Resale,False
47,976,2024-05-27,78460000.0,40010.2,Investor,Resale,True
48,1807,2023-08-02,46541000.0,43334.3,End User,Resale,True
49,190,2023-12-25,17625000.0,17642.6,End User,Primary Sale,False
50,7102,2024-10-23,8608000.0,11711.6,End User,Primary Sale,False
51,2735,2026-07-16,6711000.0,5146.5,End User,Resale,False
52,3006,2022-11-25,11087000.0,8764.4,End User,Primary Sale,False
53,4659,2021-09-17,17261000.0,12654.7,Investor,Resale,False
54,1900,2025-07-29,16350000.0,21261.4,NRI,Resale,False
55,7735,2023-05-10,21278000.0,15441.2,End User,Primary Sale,False
56,1268,2025-04-19,48272000.0,53755.0,End User,Resale,True
57,6976,2024-10-09,11672000.0,9133.0,End User,Primary Sale,False
58,1529,2025-06-28,1004174000.0,1075132.8,Investor,Resale,True
59,3203,2025-04-23,23946000.0,20173.5,Investor,Resale,False
60,3557,2023-04-18,6908000.0,13465.9,End User,Resale,False
61,3891,2021-11-08,19892000.0,16146.1,End User,Primary Sale,False
62,647,2024-05-12,25381000.0,13178.1,End User,Resale,False
63,6165,2025-09-13,24352000.0,22382.4,End User,Primary Sale,False
64,2889,2022-07-04,25102000.0,17335.6,Investor,Resale,False
65,6311,2025-07-12,112398000.0,77676.6,End User,Resale,True
66,5394,2023-12-15,15279000.0,12472.7,NRI,Resale,False
67,2436,2025-02-09,12209000.0,8714.5,Investor,Primary Sale,False
68,601,2024-10-16,29520000.0,23134.8,End User,Resale,False
69,2364,2025-09-09,33430000.0,21651.6,End User,Resale,False
70,2062,2021-12-12,21387000.0,16617.7,End User,Resale,False
71,242,2025-07-07,22050000.0,15649.4,End User,Primary Sale,False
72,2042,2023-12-03,18362000.0,9957.7,End User,Primary Sale,False
73,2825,2023-02-06,13586000.0,11181.9,End User,Resale,False
74,7514,2021-11-07,14341000.0,14544.6,End User,Primary Sale,False
75,2613,2022-08-18,12336000.0,12691.4,End User,Primary Sale,False
76,7042,2021-11-03,11215000.0,12701.0,Investor,Resale,False
77,1364,2026-04-20,3142000.0,5167.8,Investor,Primary Sale,False
78,6236,2024-03-17,19747000.0,11514.3,End User,Resale,False
79,5487,2026-07-31,5632000.0,5015.1,End User,Resale,False
80,7100,2024-05-07,12893000.0,13686.8,Investor,Resale,False
81,1479,2022-11-24,15981000.0,17092.0,End User,Primary Sale,False
82,7596,2025-05-26,14211000.0,12699.7,Investor,Primary Sale,False
83,2557,2022-08-03,12827000.0,16195.7,NRI,Resale,False
84,776,2023-06-02,46227000.0,42684.2,NRI,Resale,True
85,4015,2025-07-15,30301000.0,26394.6,End User,Primary Sale,False
86,35,2025-12-17,18078000.0,17250.0,End User,Primary Sale,False
87,6350,2023-04-17,7260000.0,10552.3,End User,Primary Sale,False
88,3153,2022-04-03,16832000.0,11427.0,End User,Resale,False
89,1956,2023-06-22,8487000.0,14582.5,End User,Resale,False
90,1586,2026-01-30,6612000.0,4719.5,End User,Primary Sale,False
91,3944,2025-05-08,24879000.0,16608.1,End User,Resale,False
92,7556,2026-02-08,8097000.0,4995.1,End User,Primary Sale,False
93,3074,2023-07-26,29941000.0,16352.3,Investor,Resale,False
94,1022,2026-07-02,6511000.0,4805.2,End User,Primary Sale,False
95,3462,2024-02-11,308335000.0,310508.6,Investor,Resale,True
96,2614,2024-02-13,14434000.0,8795.9,Investor,Resale,False
97,5226,2026-04-03,4600000.0,5010.9,End User,Resale,False
98,3844,2024-03-24,388540000.0,333797.3,Investor,Resale,True
99,7990,2025-08-21,11771000.0,18743.6,Investor,Resale,False
100,1501,2025-04-08,7068000.0,8266.7,Investor,Primary Sale,False
101,4799,2022-01-10,13710000.0,13284.9,End User,Resale,False
102,6546,2024-08-23,48076000.0,52313.4,Investor,Resale,True
103,6874,2025-09-29,38930000.0,23395.4,End User,Resale,False
104,5676,2024-05-11,10488000.0,11640.4,End User,Resale,False
105,162,2023-03-28,21216000.0,17262.8,End User,Primary Sale,False
106,4298,2022-01-12,13490000.0,10007.4,Investor,Resale,False
107,1982,2024-12-08,32740000.0,19866.5,End User,Primary Sale,False
