property_id,gate,passed
1,property_found,True
1,financial_analysis_available,False
1,evidence_not_blocked,True
1,minimum_confidence_met,True
1,property_found,True
1,financial_analysis_available,False
1,evidence_not_blocked,True
1,minimum_confidence_met,True
2,property_found,True
2,financial_analysis_available,True
2,evidence_not_blocked,True
2,minimum_confidence_met,True
3,property_found,True
3,financial_analysis_available,True
3,evidence_not_blocked,True
3,minimum_confidence_met,True
4,property_found,True
4,financial_analysis_available,True
4,evidence_not_blocked,True
4,minimum_confidence_met,True
5,property_found,True
5,financial_analysis_available,True
5,evidence_not_blocked,True
5,minimum_confidence_met,True
6,property_found,True
6,financial_analysis_available,True
6,evidence_not_blocked,True
6,minimum_confidence_met,True
7,property_found,True
7,financial_analysis_available,True
7,evidence_not_blocked,True
7,minimum_confidence_met,True
8,property_found,True
8,financial_analysis_available,True
8,evidence_not_blocked,True
8,minimum_confidence_met,True
9,property_found,True
9,financial_analysis_available,False
9,evidence_not_blocked,True
9,minimum_confidence_met,True
10,property_found,True
10,financial_analysis_available,True
10,evidence_not_blocked,True
10,minimum_confidence_met,True
11,property_found,True
11,financial_analysis_available,True
11,evidence_not_blocked,True
11,minimum_confidence_met,True
12,property_found,True
12,financial_analysis_available,True
12,evidence_not_blocked,True
12,minimum_confidence_met,True
13,property_found,True
13,financial_analysis_available,False
13,evidence_not_blocked,True
13,minimum_confidence_met,True
14,property_found,True
14,financial_analysis_available,True
14,evidence_not_blocked,True
14,minimum_confidence_met,True
15,property_found,True
15,financial_analysis_available,False
15,evidence_not_blocked,True
15,minimum_confidence_met,True
16,property_found,True
16,financial_analysis_available,True
16,evidence_not_blocked,True
16,minimum_confidence_met,True
17,property_found,True
17,financial_analysis_available,True
17,evidence_not_blocked,True
17,minimum_confidence_met,True
18,property_found,True
18,financial_analysis_available,False
18,evidence_not_blocked,True
18,minimum_confidence_met,True
19,property_found,True
19,financial_analysis_available,True
19,evidence_not_blocked,True
19,minimum_confidence_met,True
20,property_found,True
20,financial_analysis_available,False
20,evidence_not_blocked,True
20,minimum_confidence_met,True
21,property_found,True
21,financial_analysis_available,True
21,evidence_not_blocked,True
21,minimum_confidence_met,True
22,property_found,True
22,financial_analysis_available,True
22,evidence_not_blocked,True
22,minimum_confidence_met,True
23,property_found,True
23,financial_analysis_available,True
23,evidence_not_blocked,True
23,minimum_confidence_met,True
24,property_found,True
24,financial_analysis_available,False
24,evidence_not_blocked,True
24,minimum_confidence_met,True
25,property_found,True
25,financial_analysis_available,True
25,evidence_not_blocked,True
25,minimum_confidence_met,True
