property_id,gate,passed
1,property_found,True
1,financial_analysis_available,False
1,evidence_not_blocked,True
1,minimum_confidence_met,True
2731,property_found,True
2731,financial_analysis_available,True
2731,evidence_not_blocked,True
2731,minimum_confidence_met,True
5053,property_found,True
5053,financial_analysis_available,True
5053,evidence_not_blocked,True
5053,minimum_confidence_met,True
7622,property_found,True
7622,financial_analysis_available,True
7622,evidence_not_blocked,True
7622,minimum_confidence_met,True
5923,property_found,True
5923,financial_analysis_available,True
5923,evidence_not_blocked,True
5923,minimum_confidence_met,True
5342,property_found,True
5342,financial_analysis_available,True
5342,evidence_not_blocked,True
5342,minimum_confidence_met,True
3559,property_found,True
3559,financial_analysis_available,True
3559,evidence_not_blocked,True
3559,minimum_confidence_met,True
1256,property_found,True
1256,financial_analysis_available,True
1256,evidence_not_blocked,True
1256,minimum_confidence_met,True
5691,property_found,True
5691,financial_analysis_available,True
5691,evidence_not_blocked,True
5691,minimum_confidence_met,True
5354,property_found,True
5354,financial_analysis_available,True
5354,evidence_not_blocked,True
5354,minimum_confidence_met,True
7672,property_found,True
7672,financial_analysis_available,True
7672,evidence_not_blocked,True
7672,minimum_confidence_met,True
195,property_found,True
195,financial_analysis_available,True
195,evidence_not_blocked,True
195,minimum_confidence_met,True
6007,property_found,True
6007,financial_analysis_available,True
6007,evidence_not_blocked,True
6007,minimum_confidence_met,True
5842,property_found,True
5842,financial_analysis_available,True
5842,evidence_not_blocked,True
5842,minimum_confidence_met,True
26,property_found,True
26,financial_analysis_available,True
26,evidence_not_blocked,True
26,minimum_confidence_met,True
5648,property_found,True
5648,financial_analysis_available,True
5648,evidence_not_blocked,True
5648,minimum_confidence_met,True
1647,property_found,True
1647,financial_analysis_available,True
1647,evidence_not_blocked,True
1647,minimum_confidence_met,True
7944,property_found,True
7944,financial_analysis_available,True
7944,evidence_not_blocked,True
7944,minimum_confidence_met,True
5177,property_found,True
5177,financial_analysis_available,True
5177,evidence_not_blocked,True
5177,minimum_confidence_met,True
4043,property_found,True
4043,financial_analysis_available,True
4043,evidence_not_blocked,True
4043,minimum_confidence_met,True
6644,property_found,True
6644,financial_analysis_available,True
6644,evidence_not_blocked,True
6644,minimum_confidence_met,True
1084,property_found,True
1084,financial_analysis_available,True
1084,evidence_not_blocked,True
1084,minimum_confidence_met,True
6687,property_found,True
6687,financial_analysis_available,True
6687,evidence_not_blocked,True
6687,minimum_confidence_met,True
7269,property_found,True
7269,financial_analysis_available,True
7269,evidence_not_blocked,True
7269,minimum_confidence_met,True
5565,property_found,True
5565,financial_analysis_available,True
5565,evidence_not_blocked,True
5565,minimum_confidence_met,True
1239,property_found,True
1239,financial_analysis_available,True
1239,evidence_not_blocked,True
1239,minimum_confidence_met,True
