property_id,locality_name,asking_price,monthly_rent_listed,expense_records_used,rental_records_used,observed_vacancy_rate,observed_locality_appreciation,base_validation_status
2731,Gade Extension,21353000.0,37700.0,2,2,0.0019,0.1866,PASS
5053,Narayanan Layout,16677000.0,41400.0,1,1,0.0746,0.1716,PASS
7622,Devi Extension,16078000.0,54200.0,1,1,0.1081,0.1186,PASS
5923,Varkey Colony,13858000.0,42800.0,2,1,0.1628,0.0136,PASS
5342,Amble Hills,10418000.0,32500.0,1,2,0.0277,0.162,PASS
3559,Padmanabhan Enclave,14920000.0,33900.0,2,1,0.0119,0.1156,PASS
1256,Mann Enclave,6610000.0,15900.0,1,1,0.0,-0.0229,PASS
5691,Bahl Colony,12074000.0,39800.0,3,2,0.0268,0.1422,PASS
5354,Chatterjee Colony,9888000.0,21700.0,2,4,0.0474,0.0216,PASS
7672,Handa Layout,20375000.0,60200.0,1,4,0.0108,0.1144,PASS
195,Mann Enclave,13378000.0,28900.0,2,3,0.0638,-0.0229,PASS
6007,Rattan Colony,22081000.0,68700.0,1,2,0.0269,0.1412,PASS
5842,Mallick Enclave,10251000.0,36400.0,1,2,0.0157,0.1044,PASS
26,Bhatti Enclave,19276000.0,63500.0,1,1,0.003,0.1629,PASS
5648,Devi Extension,14246000.0,45000.0,2,1,0.0164,0.1186,PASS
1647,Gade Extension,23797000.0,67000.0,2,1,0.0859,0.1866,PASS
7944,Chand Hills,10854000.0,34300.0,1,1,0.0096,0.1425,PASS
5177,Bir Nagar,9251000.0,33000.0,1,3,0.0625,0.0959,PASS
4043,Chand Hills,16798000.0,54400.0,3,1,0.0451,0.1425,PASS
6644,Murty Extension,8608000.0,22500.0,1,3,0.0736,-0.0041,PASS
1084,Mann Enclave,14565000.0,51600.0,2,3,0.0429,-0.0229,PASS
6687,Choudhary Gardens,17494000.0,59300.0,1,2,0.0309,0.1334,PASS
7269,Muni Hills,13770000.0,47100.0,1,1,0.0571,0.0373,PASS
5565,Dutta Nagar,13770000.0,35500.0,1,1,0.0435,-0.0096,PASS
1239,Amble Hills,19283000.0,57500.0,1,1,0.0237,0.162,PASS
